 ******
 ***************transistor_test************************

 ****** transient analysis tnom=  25.000 temp=  25.000 ******
x

 time         voltage    voltage   
             n_g_u      n_d_d      
  4.7200e-09  0.000e+00  9.905e-01 
  4.7300e-09  0.000e+00  9.905e-01 
  4.7400e-09  0.000e+00  9.905e-01 
  4.7500e-09  0.000e+00  9.905e-01 
  4.7600e-09  0.000e+00  9.905e-01 
  4.7700e-09  0.000e+00  9.905e-01 
  4.7800e-09  0.000e+00  9.905e-01 
  4.7900e-09  0.000e+00  9.905e-01 
  4.8000e-09  0.000e+00  9.905e-01 
  4.8100e-09  0.000e+00  9.905e-01 
  4.8200e-09  0.000e+00  9.905e-01 
  4.8300e-09  0.000e+00  9.905e-01 
  4.8400e-09  0.000e+00  9.905e-01 
  4.8500e-09  0.000e+00  9.905e-01 
  4.8600e-09  0.000e+00  9.905e-01 
  4.8700e-09  0.000e+00  9.905e-01 
  4.8800e-09  0.000e+00  9.905e-01 
  4.8900e-09  0.000e+00  9.905e-01 
  4.9000e-09  0.000e+00  9.905e-01 
  4.9100e-09  0.000e+00  9.905e-01 
  4.9200e-09  0.000e+00  9.905e-01 
  4.9300e-09  0.000e+00  9.905e-01 
  4.9400e-09  0.000e+00  9.905e-01 
  4.9500e-09  0.000e+00  9.905e-01 
  4.9600e-09  0.000e+00  9.905e-01 
  4.9700e-09  0.000e+00  9.905e-01 
  4.9800e-09  0.000e+00  9.905e-01 
  4.9900e-09  0.000e+00  9.905e-01 
  5.0000e-09  0.000e+00  9.905e-01 
  5.0100e-09  6.250e-02  9.632e-01 
  5.0200e-09  1.250e-01  9.327e-01 
  5.0300e-09  1.875e-01  8.998e-01 
  5.0400e-09  2.500e-01  8.645e-01 
  5.0500e-09  3.125e-01  8.273e-01 
  5.0600e-09  3.750e-01  7.893e-01 
  5.0700e-09  4.375e-01  7.517e-01 
  5.0800e-09  5.000e-01  7.156e-01 
  5.0900e-09  5.625e-01  6.817e-01 
  5.1000e-09  6.250e-01  6.507e-01 
  5.1100e-09  6.875e-01  6.227e-01 
  5.1200e-09  7.500e-01  5.982e-01 
  5.1300e-09  8.125e-01  5.769e-01 
  5.1400e-09  8.750e-01  5.588e-01 
  5.1500e-09  9.375e-01  5.440e-01 
  5.1600e-09  1.000e+00  5.322e-01 
  5.1700e-09  1.062e+00  5.232e-01 
  5.1800e-09  1.125e+00  5.171e-01 
  5.1900e-09  1.187e+00  5.141e-01 
  5.2000e-09  1.250e+00  5.128e-01 
  5.2100e-09  1.250e+00  5.128e-01 
  5.2200e-09  1.250e+00  5.128e-01 
  5.2300e-09  1.250e+00  5.128e-01 
  5.2400e-09  1.250e+00  5.128e-01 
  5.2500e-09  1.250e+00  5.128e-01 
  5.2600e-09  1.250e+00  5.128e-01 
  5.2700e-09  1.250e+00  5.128e-01 
  5.2800e-09  1.250e+00  5.128e-01 
  5.2900e-09  1.250e+00  5.128e-01 
  5.3000e-09  1.250e+00  5.128e-01 
  5.3100e-09  1.250e+00  5.128e-01 
  5.3200e-09  1.250e+00  5.128e-01 
  5.3300e-09  1.250e+00  5.128e-01 
  5.3400e-09  1.250e+00  5.128e-01 
  5.3500e-09  1.250e+00  5.128e-01 
  5.3600e-09  1.250e+00  5.128e-01 
  5.3700e-09  1.250e+00  5.128e-01 
  5.3800e-09  1.250e+00  5.128e-01 
  5.3900e-09  1.250e+00  5.128e-01 
  5.4000e-09  1.250e+00  5.128e-01 
  5.4100e-09  1.250e+00  5.128e-01 
  5.4200e-09  1.250e+00  5.128e-01 
  5.4300e-09  1.250e+00  5.128e-01 
  5.4400e-09  1.250e+00  5.128e-01 
  5.4500e-09  1.250e+00  5.128e-01 
  5.4600e-09  1.250e+00  5.128e-01 
  5.4700e-09  1.250e+00  5.128e-01 
  5.4800e-09  1.250e+00  5.128e-01 
  5.4900e-09  1.250e+00  5.128e-01 
  5.5000e-09  1.250e+00  5.128e-01 
  5.5100e-09  1.250e+00  5.128e-01 
  5.5200e-09  1.250e+00  5.128e-01 
  5.5300e-09  1.250e+00  5.128e-01 
  5.5400e-09  1.250e+00  5.128e-01 
  5.5500e-09  1.250e+00  5.128e-01 
  5.5600e-09  1.250e+00  5.128e-01 
  5.5700e-09  1.250e+00  5.128e-01 
  5.5800e-09  1.250e+00  5.128e-01 
  5.5900e-09  1.250e+00  5.128e-01 
  5.6000e-09  1.250e+00  5.128e-01 
  5.6100e-09  1.250e+00  5.128e-01 
  5.6200e-09  1.250e+00  5.128e-01 
  5.6300e-09  1.250e+00  5.128e-01 
  5.6400e-09  1.250e+00  5.128e-01 
  5.6500e-09  1.250e+00  5.128e-01 
  5.6600e-09  1.250e+00  5.128e-01 
  5.6700e-09  1.250e+00  5.128e-01 
  5.6800e-09  1.250e+00  5.128e-01 
  5.6900e-09  1.250e+00  5.128e-01 
  5.7000e-09  1.250e+00  5.128e-01 
  5.7100e-09  1.250e+00  5.128e-01 
  5.7200e-09  1.250e+00  5.128e-01 
  5.7300e-09  1.250e+00  5.128e-01 
  5.7400e-09  1.250e+00  5.128e-01 
  5.7500e-09  1.250e+00  5.128e-01 
  5.7600e-09  1.250e+00  5.128e-01 
  5.7700e-09  1.250e+00  5.128e-01 
  5.7800e-09  1.250e+00  5.128e-01 
  5.7900e-09  1.250e+00  5.128e-01 
  5.8000e-09  1.250e+00  5.128e-01 
  5.8100e-09  1.250e+00  5.128e-01 
  5.8200e-09  1.250e+00  5.128e-01 
  5.8300e-09  1.250e+00  5.128e-01 
  5.8400e-09  1.250e+00  5.128e-01 
  5.8500e-09  1.250e+00  5.128e-01 
  5.8600e-09  1.250e+00  5.128e-01 
  5.8700e-09  1.250e+00  5.128e-01 
  5.8800e-09  1.250e+00  5.128e-01 
  5.8900e-09  1.250e+00  5.128e-01 
  5.9000e-09  1.250e+00  5.128e-01 
  5.9100e-09  1.250e+00  5.128e-01 
  5.9200e-09  1.250e+00  5.128e-01 
  5.9300e-09  1.250e+00  5.128e-01 
  5.9400e-09  1.250e+00  5.128e-01 
  5.9500e-09  1.250e+00  5.128e-01 
  5.9600e-09  1.250e+00  5.128e-01 
  5.9700e-09  1.250e+00  5.128e-01 
  5.9800e-09  1.250e+00  5.128e-01 
  5.9900e-09  1.250e+00  5.128e-01 
